name,ring,quadrant,isNew,Goal,status,Beneficio,Impacto
Spring boot y webflux,Adopt,languages-and-frameworks,FALSE,,moved in,,
GraphQL como alternativa a REST,Trial,languages-and-frameworks,TRUE,,new,,
Virtual Threads (Project Loom),Trial,languages-and-frameworks,TRUE,Simplificar concurrencia y mejorar performance.,new,Mejor escalabilidad en microservicios.,
Micronaut o Quarkus,Assess,languages-and-frameworks,TRUE,Comparar frameworks modernos de Java frente a Spring Boot.,new,"Menor consumo de memoria, arranques más rápidos.",
Frameworks y librerias SNAPSHOT u obsoletos,Hold,languages-and-frameworks,TRUE,,new,,
Arquitectura en capas rígida sin separación de dominios,Hold,languages-and-frameworks,FALSE,,no change,,
IA en el equipo de arquitectura,Adopt,Platforms,,"Asistir revisiones, documentación y análisis.",,"Productividad, decisiones más rápidas. proactividad, autogestión",Metodología y alineación
Publicar lineamientos y mejores practicas en la wiki,Adopt,Platforms,FALSE,"Centralizar lineamientos, librerías y mejores prácticas.",moved in,,
Ambientes GCP listos para desplegar laboratorios internos,Trial,Platforms,TRUE,Realizar pruebas internas,new,"estructura base sólida, Consistencia, aprendizaje, ambiente propio",Plataforma y herramientas
K6 (pruebas de carga),Trial,Techniques,TRUE,Validar performance antes de producción.,new,"Prevención de incidentes, experiencia de usuario estable. calidad y prevención de riesgos",Procesos y lineamientos
Incorporar IA como apoyo de desarrollo,Assess,Platforms,TRUE,Aprovechar IA para acelerar la codifizacion,new,"Mayor productividad, feedback inmediato.",Innovación cultural
Chaos Engineering en Pub/Sub y Redis,Assess,Platforms,TRUE,Validar resiliencia ante fallos.,new,Preparación real para escenarios críticos.,
Bootcamps técnicos,Adopt,Techniques,TRUE,Subir el nivel técnico del equipo con prácticas guiadas.,,"Alineación, aprendizaje práctico, cultura de mejora continua.",Capacitación y cultura
Definición de lineamientos de codigo seguro ,Adopt,Techniques,,Tener un estandar a nivel empresa de codigo seguro,,Alineacion y base tecnica solida,Procesos y lineamientos
"Encuestas de cultura técnica (por qué LT’s no llevan temas al comité, madurez de equipo)",Adopt,Techniques,FALSE,"Detectar brechas de motivación, autogestión y colaboración.",moved in,Mejor entendimiento de la realidad cultural. claridad de responsabilidades y proactividad.,Metodología y alineación
Programas de mentoría cruzada (arquitectos ↔ líderes técnicos ↔ devs),Adopt,Techniques,FALSE,Reducir brechas de conocimiento entre niveles.,,"Liderazgo técnico fortalecido, equipos más autónomos. responsabilidad compartida y crecimiento colectivo.",Cultura
Revisión de código con checklist estándar,Adopt,Techniques,FALSE,Asegurar que todos los MR cumplan estándares de calidad y seguridad,,"Homogeneidad en el código, menos bugs en producción.",Mantenibilidad
Mutation Testing para validar efectividad de unit tests,Adopt,Techniques,FALSE,Evitar pruebas unitarias sin asserts reales.,,Aumenta la calidad de las pruebas y confianza en el código.,
